book,gross_exposure,path,seed,ending_after_tax_wealth,after_tax_cagr,gross_losses_realized,gross_losses_liquidation,disallowed_wash_losses,net_realized_pre_liquidation,tax_benefit_used,unused_loss_carry,liquidation_tax,tracking_error,max_drawdown,annual_turnover,management_fees,borrow_costs,transaction_costs,payments_in_lieu,dividend_taxes,debit_interest,min_margin_excess_ratio,max_net_exposure_error,maintenance_deficiency_observed,feasible_at_inception,deleverage_events,final_exposure_scale,yearly_taxes_paid
150/50,2.0,131,138,1503051.0555297707,0.04159137085407938,2367864.582739795,152692.51396157575,302055.62982017547,983745.9482408015,40360.21569915561,-0.0,47983.5395308373,0.10103258183774563,-0.3452166393838585,2.238466732802452,61875.8960132315,52982.96662648188,33384.51944433705,91837.14215256857,65601.30716046228,8827.62622763801,0.4586689887938981,0.03659778153341531,False,True,0,1.0,373900.75451931567
150/50,2.0,132,139,1842727.7916009997,0.06303146267684268,2259303.3624815797,80905.50014201259,226063.69706722078,1036725.6247519474,57634.82548432512,-0.0,109626.91531362548,0.10214535276556083,-0.20243338642267916,2.265169305981962,61375.11953820163,52458.02950439827,33883.98238961793,90927.25114095701,64901.29586380816,7195.926135749521,0.45953387013043895,0.03562250366194952,False,True,0,1.0,453251.7409271507
150/50,2.0,133,140,811345.9231866732,-0.020689060588305996,2111536.809591803,71997.97179319845,124642.74504479904,-259848.95192782796,236273.10474675088,-0.0,13257.53361939301,0.09644524430689505,-0.48678295117565196,2.3616042143606744,37231.77605204658,31947.321308603645,21133.615558919337,55375.356934913,39633.45474703078,3729.8645635147504,0.458982918216651,0.028648196631546274,False,True,0,1.0,148048.33373102115
150/50,2.0,134,141,1037339.3854352614,0.0036726428775775144,2086104.6107006453,24131.512444560307,164058.84064819603,-103909.13424388971,209364.56076516604,-0.0,77962.08677109852,0.12455597062738481,-0.4361160953940326,2.190908179961506,42758.11878682616,36378.17148079508,22743.975111855438,63055.49723337817,45389.71069440259,4905.208853817692,0.45954572383227466,0.02851579368676349,False,True,0,1.0,210912.7282481908
150/50,2.0,135,142,961765.6454882191,-0.003890857895988087,2689728.474954374,40173.75796977452,250820.2641797916,148243.38302286723,219319.52286745477,-0.0,32271.988767386967,0.10651344116847439,-0.5701619789250176,2.2852272342873547,45845.43518294112,39429.38588740835,25042.79326102278,68344.26887150778,48935.778458853434,5867.6492383107725,0.4628925985195948,0.03274050455022015,False,True,0,1.0,270686.88982267876
150/50,2.0,136,143,820445.9975608307,-0.01959616798512165,2338897.1300460035,16689.35292954916,181726.51928142595,-127635.60568887013,186334.59369983312,-0.0,57114.46499210072,0.11371341741224478,-0.5709481688723039,2.3457997292518784,39207.850094081,34464.814830002855,22111.11121991346,59739.01237200494,42039.540525235374,4581.807625178034,0.4610278870560981,0.03513981588641313,False,True,0,1.0,170448.6284133051
150/50,2.0,137,144,853058.7491304313,-0.01576706367014935,2595718.254558509,42844.15512413185,113803.28191902288,-207735.44784439693,241621.84726374887,-0.0,6368.818702514141,0.10352534236091909,-0.6070312714451901,2.5672649001666827,43167.81379657418,36782.15229096599,26257.91563916554,63755.73063767439,45836.799469727885,4472.154175559735,0.45866966872159587,0.031780416278754386,False,True,0,1.0,196514.77295138597
150/50,2.0,138,145,1322496.2084853062,0.02834642728004444,2465348.4907043404,209226.8496360393,227165.6508671015,515418.34135669953,127924.2179407431,-0.0,23693.289567594955,0.12519927946801893,-0.3303989865406999,2.232747306731742,48771.31534121218,41935.3258835938,26416.76308379077,72687.89819822926,51622.985870100645,4912.871321007983,0.4601320993273512,0.03827934465290295,False,True,0,1.0,255821.24459952183
150/50,2.0,139,146,1054039.056115898,0.00527682410896646,2646446.822702517,44537.469867263564,207900.86484304676,148002.68520561414,177526.62597466767,-0.0,50233.6292620267,0.0879670659324905,-0.5211456286483788,2.3623946820522415,56873.92779162102,48643.69574672322,31786.278199331493,84315.73929432026,60281.72382223879,6717.097793974037,0.46234459553247986,0.04186143937586717,False,True,0,1.0,239763.95153245848
150/50,2.0,140,147,1197461.2283820086,0.018183713795594914,2270131.528817505,67244.39426228889,264300.8094703362,381990.4332054508,141959.87628848758,-0.0,52177.98175406939,0.09015616996417018,-0.4861409424602333,2.259860720027297,49342.74982800415,42998.017280854285,26913.856891060776,74529.8966201474,52533.54892662572,5852.917541069021,0.4593040740048937,0.03506676445144474,False,True,0,1.0,261694.3674149574
150/50,2.0,141,148,917813.3012806076,-0.00853945837001091,2498425.9425748144,62631.109735318874,199169.05562733422,67102.87337830322,231349.64674455955,-0.0,9281.893458100243,0.09863636921542832,-0.552944185818146,2.571125578094439,47701.84722982446,41769.00331973336,28956.420682572912,72399.60575420452,50949.419620267014,4815.746301292239,0.463514928238684,0.030930749827895232,False,True,0,1.0,224369.4479178113
150/50,2.0,142,149,977126.6008680006,-0.002311230394303254,2263915.511341902,11106.319007339696,196761.27913926987,-73468.80608224634,115043.02367683378,-0.0,102195.75325606637,0.12834688688568568,-0.5013185948255059,2.1694354187136295,47655.052489352376,40711.489407711066,24913.763820840708,70566.58164003251,50688.10668342036,5140.160440132928,0.4629408027590199,0.032868994023304676,False,True,0,1.0,191781.821429847
150/50,2.0,143,150,700926.7745823027,-0.03491122358703447,1647539.3450934077,119040.29068189517,150187.04661963385,-388859.90538228245,240020.5658343099,-0.0,9744.31398494511,0.10846175866693182,-0.614988119011734,2.444210212579791,26366.89540973193,22728.726484251514,15825.483162797651,39396.45923936929,28372.34327748026,2712.3917929294967,0.45931022457004606,0.029678219429543518,False,True,0,1.0,87871.25855929659
150/50,2.0,144,151,529882.7914969128,-0.06153521330992362,1689087.2639155998,25396.967909109793,94954.94065312344,-740086.1563613154,307674.489712859,-0.0,23787.87699653238,0.11425393318342994,-0.8045599533509878,2.511358990911785,20679.50363096206,18030.915462977075,12798.232923166828,31253.5868024936,22452.069132758188,1199.0360167381707,0.4618512110475987,0.03957123249555017,False,True,0,1.0,51959.284046732864
150/50,2.0,145,152,894872.8035561441,-0.01104590991108334,2316170.7480752505,87120.97938119812,178326.72891857923,-262142.09408390638,207834.1287974103,-0.0,44098.475506336996,0.14263656056245205,-0.4931760981024371,2.3791466327347432,41784.26066946383,35970.87360872397,23796.239408237267,62349.514255121525,44373.347105193294,3510.559816801476,0.45722138624871705,0.04672498163133054,False,True,0,1.0,171325.92781163513
150/50,2.0,146,153,1463016.6166085913,0.03878322058709194,2123143.191350491,27237.86201098811,201179.34007168066,351226.0501534439,114508.34785885585,-0.0,147498.90915360258,0.09037172163091549,-0.2309256598900633,2.4457259850266406,47158.85331127045,40537.25889911506,28177.371478091685,70264.58209179947,49922.43196098238,3888.237273106381,0.4547051974041971,0.040478951626786386,False,True,0,1.0,328984.87895390723
150/50,2.0,147,154,852617.1837508607,-0.015818021995893772,2115961.4281544127,10880.507135000731,113270.68105378358,-464244.78631600074,221946.45516112648,-0.0,78562.94655951798,0.08600392477232742,-0.544714917746576,2.4217711298672358,34840.3191296129,29780.61784895149,20482.02662688932,51619.73760484924,37107.15868978144,1660.7012263446923,0.455001759484042,0.0242042811963068,False,True,0,1.0,129395.07703239706
150/50,2.0,148,155,571492.7175099557,-0.0544139205753712,2029627.1349949725,18169.52842634049,122307.36189308457,-761932.6933667469,276330.85662823706,-0.0,43312.822938000994,0.11711950624835081,-0.7658672786627332,2.5655122412046136,28819.673731832754,24340.516723473873,17744.329354111705,42190.228987354705,30736.025407646594,1080.3515006805285,0.46448812762133024,0.03100077659918643,False,True,0,1.0,39511.16608025194
150/50,2.0,149,156,628793.8565084717,-0.04533537750174055,1590765.5780183822,14979.464350258419,112370.6364821075,-613887.8105069655,259678.53266718597,-0.0,40281.886529233365,0.09060382321412075,-0.638422611440874,2.550474731418528,23561.532467744244,20662.420064412167,14777.303194143893,35814.86144498109,25325.57317509601,866.8088884430317,0.45888271827183996,0.0327842027253864,False,True,0,1.0,70686.6798391255
150/50,2.0,150,157,1392632.226187854,0.03367412250837676,3076669.8398459335,193128.38788584142,261496.14767283073,727888.6774343115,153677.53792549588,-0.0,14418.462074504103,0.10037836588462505,-0.490831452337643,2.2336072007121524,66480.5979630795,56935.11886090793,35262.41287084239,98687.53935890716,70524.21729825712,11265.080549044234,0.45880139476254933,0.04201072430740882,False,True,0,1.0,399518.66130926425
150/50,2.0,151,158,1680191.824296819,0.053260716794927276,3300006.9896936174,96226.41636512437,358436.00110829336,1029622.4611630337,111932.27569292052,-0.0,92807.46794339296,0.10814549734408477,-0.43706192166612934,2.078544008993536,74739.48237580404,62784.47376052596,37303.82455686005,108826.4211849117,78840.26602721625,13585.24531855199,0.4587860703604462,0.04800637850534928,False,True,0,1.0,512752.6401303319
150/50,2.0,152,159,1431638.8852986046,0.03653351397918647,3111564.7510558926,25808.961610991508,258085.15336466752,816855.3662698257,122082.75666296828,-0.0,23347.531031118175,0.09811642064909347,-0.4426662271963745,2.292977861921046,75467.36196817915,65406.89984324274,40801.239089847484,113371.95972828747,79947.4528610271,9833.141762122536,0.4592283819789974,0.029300595831251663,False,True,0,1.0,320555.5979156022
150/50,2.0,153,160,1163669.0863475734,0.015273264006471443,2590924.009710361,9974.722741490725,175999.59205159754,87562.56886117806,190491.80840824585,-0.0,28313.6642678042,0.11577455290592607,-0.49896648627450557,2.3416147357121075,52511.30625164682,45088.178125702296,29323.840126013823,78152.84208455062,55668.39070163373,5130.207246804816,0.4545752122918954,0.0408542100097572,False,True,0,1.0,256196.2736652414
150/50,2.0,154,161,1191518.1735161885,0.017677252412065636,2715188.9020979544,61432.378326814534,254333.83212743996,411614.09583347954,100107.88229283648,-0.0,44754.626507119996,0.10296961563653569,-0.35274296441633524,2.3944982531049464,57937.122937192195,48690.31597317093,32964.30433197901,84396.5476868296,61379.521051078096,11232.675669818573,0.46289958287633026,0.03939004003725577,False,True,0,1.0,293851.8776169828
150/50,2.0,155,162,1101749.6490018482,0.009737050195161245,2319045.603664744,18967.45705107071,186855.374145025,-46157.57604248778,169286.71132693323,-0.0,100088.30909404048,0.08757720862891394,-0.5132975458469612,2.431054607530252,48084.89714028573,41644.52742829754,28003.017968761334,72183.84754238238,51062.60506968182,3394.9439388109868,0.458426401667946,0.02661177611780663,False,True,0,1.0,211110.65348432527
150/50,2.0,156,163,1321934.5014360175,0.02830274172046421,2432265.9866583673,26005.348351180273,163708.6442329788,396638.4064263429,76456.40096112678,-0.0,86640.32404353669,0.11288898772899941,-0.29745556986331456,2.2234642492888055,57857.52698062484,49133.91964840426,30943.528412215754,85165.46072390073,61154.40442103897,7926.745242641813,0.4642871111878189,0.032810859812895776,False,True,0,1.0,244674.21471017326
150/50,2.0,157,164,2663494.912643701,0.10292298401889433,3411834.342921035,45388.866212353736,552621.8519360806,2732293.541003998,30864.047990788786,-0.0,134088.8280669023,0.11926509702548493,-0.26665781993394677,2.297990538218631,98474.03995304079,85481.34751569985,54269.25935881521,148167.6690272131,104943.80312998542,20832.587436784255,0.46310260368176037,0.037750896556682845,False,True,0,1.0,883991.5809826292
150/50,2.0,158,165,1190904.6822073632,0.017624841893504106,4119084.4325658414,325221.95213093323,294603.70117372373,932572.2016772474,168096.0,745287.0672582856,0.0,0.1059109766736368,-0.6574649641253312,2.326076811873827,79144.33319018192,67346.55290776755,42963.313498636984,116734.02504013042,83611.14804329148,11001.453940829155,0.4592281060085522,0.020293872448419403,False,True,0,1.0,589129.5923248279
