scenario,book,gross_exposure,path,seed,ending_after_tax_wealth,after_tax_cagr,gross_losses_realized,gross_losses_liquidation,disallowed_wash_losses,net_realized_pre_liquidation,tax_benefit_used,unused_loss_carry,liquidation_tax,tracking_error,max_drawdown,annual_turnover,management_fees,borrow_costs,transaction_costs,payments_in_lieu,dividend_taxes,debit_interest,min_margin_excess_ratio,avg_long_exposure,avg_short_exposure,max_net_exposure_error,maintenance_deficiency_observed,feasible_at_inception,insolvent,deleverage_events,extension_scale,yearly_taxes_paid
"Annual gains, zero alpha, high costs",200/100,3.0,60,67,557131.9422967467,-0.05681734427659568,2388621.700140087,24.62881766856158,0.0,-633358.3920494189,286358.6174439027,-0.0,39691.34371776267,0.16323322181153427,-0.7493092074554968,5.05230895106848,46490.5480553243,87959.54939349557,79356.57414835437,65341.37954945387,30891.05444100651,4991.766200044649,0.18864691532417419,2.0154649154929047,1.0061469121381685,0.03837118963472941,False,True,False,0,1.0,69677.83391241459
"Annual gains, zero alpha, high costs",200/100,3.0,61,68,1459990.3046175907,0.038568143588090686,4563755.34686103,479.29810787606675,0.0,254852.52384590905,139765.64052428922,-0.0,210975.92548798892,0.1734779330253689,-0.4315332863759106,4.724166361993514,113678.52611558491,211441.33197669205,180090.68492555458,157070.70375411402,74801.17619888898,10264.078904540458,0.1883189351081057,2.015597591195833,1.0062845796468238,0.026332718596073557,False,True,False,0,1.0,345006.8772913314
"Annual gains, zero alpha, high costs",200/100,3.0,62,69,535359.6379806147,-0.06056970231218839,2973273.510714434,114.5098158554894,0.0,-612919.6206815367,264324.37444037705,-0.0,66304.01577441102,0.1239635148052613,-0.7460366692415431,4.567467486460976,60969.38343456041,113966.24999266895,93231.97358453003,84660.64285169689,40134.479991075896,4165.7289455145365,0.18908577490310868,2.011296884893491,1.0078478095555148,0.028988007354998846,False,True,False,0,1.0,90456.18119984653
"Annual gains, zero alpha, high costs",200/100,3.0,63,70,1166290.5530756689,0.015501749138274512,4713507.87230433,140.2499723457057,0.0,248599.4859693566,153274.15417714432,-0.0,74472.7273312586,0.16155845281148543,-0.4143412668876829,4.818874892466235,113243.57430704481,210546.32365372594,180357.46264841792,156405.84042848204,74680.76019258772,13745.006794416104,0.1874587456921917,2.01731800951776,1.0064401246617858,0.024658105384258944,False,True,False,0,1.0,267982.75511586486
"Annual gains, zero alpha, high costs",200/100,3.0,64,71,423644.95734934637,-0.08230111479432856,2487079.3378080376,718.5259448278553,0.0,-683407.9662699242,286966.7371798091,-0.0,19454.06155109444,0.15221771624589783,-0.8718905141565119,4.934089636981823,55901.479934368894,107058.16273595528,91632.99266037426,79528.92088956675,37371.98032491181,5948.529460704092,0.1904307811524972,2.015113527163635,1.0065333555101348,0.030448036419782998,False,True,False,0,1.0,51651.49496194905
"Annual gains, zero alpha, high costs",200/100,3.0,65,72,672302.8364757115,-0.0389267392488708,2438358.8467841973,578.3760995729256,0.0,-622622.3317916536,288691.01434982655,-0.0,119078.01704532387,0.17338793847818332,-0.6596030642900603,4.910536486632486,51079.25632489063,95916.35352957774,85272.87694668405,71252.14833625776,33740.7859039419,4043.965777273851,0.1876807436022408,2.0107752474412486,1.0059885171016016,0.027649810044681367,False,True,False,0,1.0,161427.939671666
"Annual gains, zero alpha, high costs",200/100,3.0,66,73,2353082.1291135415,0.08934064603514646,7485513.847196944,5342.804257312409,0.0,1712046.812763989,92402.70575043157,-0.0,375359.7096139941,0.1595090593195906,-0.3624845207184606,4.518088504778981,203189.6621533552,371613.1917272423,305203.33884479036,276055.51385452284,132629.08980034036,19569.065124108165,0.18918936999549843,2.0131374777476347,1.00636807803606,0.025665834843509483,False,True,False,0,1.0,988154.1034982773
"Annual gains, zero alpha, high costs",200/100,3.0,67,74,1096654.8921870803,0.009269148877184552,3968007.4561700025,4963.669682027694,0.0,91407.2672687677,205571.7764953827,-0.0,88125.2134319733,0.1819436172619992,-0.5249675171406061,4.854440092108385,90687.69749343302,171618.61778296737,146884.29350743783,127488.11606734715,60307.23262113528,10375.255096333285,0.18695776599143696,2.0158875342108105,1.0055182770448539,0.03694834485624332,False,True,False,0,1.0,259753.3129457995
"Annual gains, zero alpha, high costs",200/100,3.0,68,75,555634.3633478779,-0.057071180370899977,2904048.4801050527,987.4905000583208,0.0,-559000.2973295402,255888.1686331719,-0.0,33504.6702338803,0.1647762742329866,-0.7205908401494134,5.3303993887625705,51188.59237668161,98002.50603328196,91504.22185370274,72801.86162472372,34087.01107826597,3217.3555514579534,0.18823331584546513,2.0139555768439443,1.0088684878607304,0.03577307057635526,False,True,False,0,1.0,63489.93248595446
"Annual gains, zero alpha, high costs",200/100,3.0,69,76,869276.1001761793,-0.013911772585093019,4641506.828022322,80397.52106428232,0.0,-79612.81266097157,182527.1596140928,-0.0,45141.46910793105,0.18514193890614847,-0.4887406518357085,4.551552528290372,102780.9794018211,192474.93767403494,154332.3428436466,142981.3822721402,68083.14817580218,13525.124582686374,0.1863748705731492,2.017871302887036,1.0049786883911502,0.03692910047907261,False,True,False,0,1.0,169660.8167539676
