scenario,book,gross_exposure,maintenance_deficiency_probability,feasible_at_inception,deleverage_events_median,extension_scale,insolvency_probability,ending_after_tax_wealth_p10,ending_after_tax_wealth_median,ending_after_tax_wealth_p90,after_tax_cagr_p10,after_tax_cagr_median,after_tax_cagr_p90,gross_losses_realized_p10,gross_losses_realized_median,gross_losses_realized_p90,gross_losses_liquidation_p10,gross_losses_liquidation_median,gross_losses_liquidation_p90,disallowed_wash_losses_p10,disallowed_wash_losses_median,disallowed_wash_losses_p90,net_realized_pre_liquidation_p10,net_realized_pre_liquidation_median,net_realized_pre_liquidation_p90,tax_benefit_used_p10,tax_benefit_used_median,tax_benefit_used_p90,unused_loss_carry_p10,unused_loss_carry_median,unused_loss_carry_p90,liquidation_tax_p10,liquidation_tax_median,liquidation_tax_p90,tracking_error_p10,tracking_error_median,tracking_error_p90,max_drawdown_p10,max_drawdown_median,max_drawdown_p90,annual_turnover_p10,annual_turnover_median,annual_turnover_p90,management_fees_p10,management_fees_median,management_fees_p90,borrow_costs_p10,borrow_costs_median,borrow_costs_p90,transaction_costs_p10,transaction_costs_median,transaction_costs_p90,payments_in_lieu_p10,payments_in_lieu_median,payments_in_lieu_p90,dividend_taxes_p10,dividend_taxes_median,dividend_taxes_p90,debit_interest_p10,debit_interest_median,debit_interest_p90,min_margin_excess_ratio_p10,min_margin_excess_ratio_median,min_margin_excess_ratio_p90,avg_long_exposure_p10,avg_long_exposure_median,avg_long_exposure_p90,avg_short_exposure_p10,avg_short_exposure_median,avg_short_exposure_p90,max_net_exposure_error_p10,max_net_exposure_error_median,max_net_exposure_error_p90,wealth_diff_vs_baseline_median,wealth_diff_vs_baseline_p10,wealth_diff_vs_baseline_p90,prob_beats_baseline
"$500k ST gain in year 3, zero alpha",100/0,1.0,0.0,True,0.0,1.0,0.0,900500.0314310793,1685184.8790444413,2733388.1178825893,-0.010427084311356305,0.0535584909582143,0.10578348585411419,611463.9884866817,753381.4600315054,936930.3606372841,0.0,28.734029153582014,561.8875895582291,0.0,0.0,0.0,-446237.2372676163,31960.04454398981,504067.6725961326,4860.3595578507875,50707.048764213236,118488.06201575563,-0.0,-0.0,0.0,16157.466764462024,192344.2551961625,429662.20866030274,0.017039672793945602,0.01978739764570963,0.023585256173019778,-0.521676826650781,-0.337299395355442,-0.20723630485222924,0.34107752023254423,0.5009236502103582,0.8052561562398903,40225.53246428484,66099.89030825763,93063.09920415886,0.0,0.0,0.0,7550.662001389547,8626.849161219816,9649.397675701053,0.0,0.0,0.0,28745.953465111703,47593.37679750242,66997.27026705444,22050.35311366633,37852.12523933391,59215.604657047574,0.7175012003686958,0.7220721360175162,0.7259311862762919,1.0389212932647476,1.0460527781825886,1.051828942406317,0.0,0.0,0.0,0.09627525489483231,0.11171145592993492,0.1299951985252171,0.0,0.0,0.0,0.0
"$500k ST gain in year 3, zero alpha",130/30,1.6,0.0,True,0.0,1.0,0.0,830461.0995254226,1547274.3960646612,2516462.978524309,-0.0184083647833578,0.0446161294476527,0.09666693690443873,1896269.842466005,2442373.760870032,3222445.315624111,8.232540842046394,1452.6103249783796,17717.821471305553,0.0,0.0,0.0,-463086.53836146666,243217.64815632073,1159019.137744292,4896.0,58900.89066179711,154309.29742867057,-0.0,-0.0,123039.74490190257,0.0,110456.39000345697,260893.4190967244,0.06893106630988863,0.08058310289013848,0.09254620681115099,-0.5843987021949705,-0.37854306620357836,-0.2306159038924524,2.0783162980539878,2.263972529453146,2.480088821211098,36442.38931538071,58217.96536799311,89490.15510012234,18766.852386294464,30482.604894574324,45821.59477961967,20632.836742469066,32174.928570105054,45124.89026655649,32529.2108029104,52836.5151505955,79424.09761800748,32767.456424586533,52951.16164699558,81020.9394242846,1980.1876574463256,6226.195496873225,12891.812241336429,0.5672676508430909,0.5705782707785299,0.573201465773838,1.3084924094418602,1.3119227549640375,1.3161042123392668,0.306620496032,0.3096256270654568,0.3154829033521974,0.026971127306276644,0.03477071093145778,0.04961046640191518,-146082.7936387253,-526767.5196590432,144879.35147896182,0.25
"$500k ST gain in year 3, zero alpha",150/50,2.0,0.0,True,0.0,1.0,0.0,817401.2041194682,1400255.8979221445,2540319.3781233015,-0.019965044548907105,0.03423580468791865,0.09770169101763952,2306723.259674414,3175709.305809118,4507513.00253813,0.0,1493.0797197667991,16380.334672151137,0.0,0.0,0.0,-491800.3942440101,69843.36045075725,1054951.4608753035,6514.914744933735,92391.12602589936,181296.18106020996,-0.0,-0.0,118464.09400851448,0.0,107180.73788298873,283805.3931416371,0.08998766552426873,0.10532740311214045,0.11869311046698724,-0.6172219106335323,-0.40157646342849634,-0.24198688750410757,2.77595854708549,2.986279318451966,3.1998615743808236,34519.718068656955,57774.290081078114,88682.39416312902,29613.370776326796,49112.42016893353,75147.63733936031,25247.381628111823,40035.14780939289,60193.69675003886,51329.842678966445,85128.19495948478,130255.90472155785,36079.09293657054,60076.7208473995,92442.49436255782,2134.6549643473586,5269.904134148495,13094.08730805122,0.45911572369102016,0.4622401025272074,0.4644843201702453,1.5065560887883571,1.5095773173627183,1.5135701429766422,0.5052060736267395,0.5077691540949614,0.5128659858807076,0.02525578039870512,0.03336863430690701,0.043348228348998874,-181447.4849541915,-704381.0942540732,178143.27065655997,0.22
"$500k ST gain in year 3, zero alpha",200/100,3.0,0.0,True,0.0,1.0,0.0,615068.0380924622,1237911.242209964,2616415.006994808,-0.04744005634733546,0.02156466655455269,0.10095747240609342,3127372.1058508386,4659322.214413817,7153103.078012937,35.96309469262775,1837.798529425178,28236.12477118473,0.0,0.0,0.0,-699424.2435514338,-216556.18323127928,918653.1039190151,26059.804810620935,168209.9200368716,213792.0,-0.0,-0.0,128284.13757619557,0.0,126939.73249010777,431868.7618437539,0.13896627504438863,0.16039382727123602,0.18124241335962668,-0.713646190881748,-0.4963605412548115,-0.30061492618813257,4.437822962179666,4.731001498371231,4.95412866116403,29272.669296802393,52224.3164037941,90434.14280561356,50644.394484367775,87203.10414779052,151107.40498946287,34005.07417672906,56185.68430846604,99197.22855366251,87783.61710623748,151152.0471895035,261919.5019817356,41210.371673619775,72240.99300336358,125294.89335929278,2986.087857851633,7229.623765985411,15781.570148747604,0.18555742858617386,0.18934767197675062,0.19157836952513074,2.007782919638396,2.011118942975396,2.014607754738495,1.0020898590391079,1.0041228388941423,1.0069324651470262,0.023896657610245196,0.03192167623133302,0.04176426442410952,-349859.39246940037,-1079057.4679673752,250412.17670232104,0.24
"$500k ST gain in year 3, zero alpha",250/150,4.0,0.0,False,0.0,0.8848484848484848,0.0,575989.7718497771,1097150.690308141,2729513.1252790596,-0.05367476221138965,0.009313686324482151,0.105595649510353,3371965.461377546,5455943.918756686,9290675.922174003,26.541114654909588,2638.8689371024684,38131.14134806977,0.0,0.0,0.0,-766075.458001536,-409740.2689502466,833935.762675371,71446.12011392105,204772.20246365364,215016.0,-0.0,-0.0,140916.6856866882,0.0,102694.16342233017,483724.1071181176,0.1705933940671549,0.1963150588049219,0.22351785022949403,-0.7615325039375188,-0.5618351636421113,-0.3422230423434104,5.537473556595622,5.877804116993745,6.159583743763169,25598.412041283904,47997.453940734355,87831.28074100961,58494.45337976546,106651.23928854246,193910.11118385903,37002.241955162084,65970.06038001954,119575.86423236116,101390.38585826015,184862.14810014027,336110.8593853556,41604.56318257892,76656.00538450354,140793.36791252214,1791.2433469938978,4251.248248801619,11033.328837129024,0.009896854282565325,0.01205611433726659,0.013450627285026663,2.332412318496056,2.3334834299081715,2.3348074364172238,1.3302429253422738,1.3314321550677461,1.3331934716157723,0.014613125289778251,0.01938735615732523,0.02672203989365676,-480796.9670673866,-1266185.9688264753,268123.2355296628,0.18
"Annual $100k ST gains, +75 bps alpha",100/0,1.0,0.0,True,0.0,1.0,0.0,945809.1977837742,1722302.9049312973,2759538.8416052973,-0.0055562069844080075,0.05586417267082411,0.10683672968356438,606734.1808198722,751035.1599715844,934028.7397031635,0.0,22.79080616742756,553.4979432213613,0.0,0.0,0.0,-445977.3976204657,30656.363169837787,505616.4145055571,47885.21566623374,105749.05354469323,205656.56119394727,-0.0,-0.0,0.0,52371.6892072566,200773.1982150501,431468.56146300666,0.0169983115121767,0.02028042124707477,0.02425600557137551,-0.5206184126733993,-0.33412272743665217,-0.20726093289482694,0.3467464341815603,0.49862810376524114,0.805281306835328,40188.93920462314,65593.22623822014,92767.39728297554,0.0,0.0,0.0,7530.925943536549,8527.376686755637,9707.06236424741,0.0,0.0,0.0,28724.75438679508,47189.3177484422,66923.35321766503,22076.238614781745,38573.37307152117,59196.6304334984,0.7173113177555924,0.7222280752287265,0.7258340111100038,1.0386296845959166,1.0458844621425292,1.0521876484503263,0.0,0.0,0.0,0.09666395555998537,0.1110876990850942,0.13075472897763013,0.0,0.0,0.0,0.0
"Annual $100k ST gains, +75 bps alpha",130/30,1.6,0.0,True,0.0,1.0,0.0,918105.2985413866,1624978.1923181545,2625534.067349011,-0.00850793924436397,0.04974619511131062,0.1013397180349953,1890476.8464181882,2447093.614810693,3236577.043280249,5.2480499701627705,1460.6568504220281,18470.559375740733,0.0,0.0,0.0,-405967.04830400576,294386.8124031195,1189573.6892468464,67701.2498089936,157042.92597006194,245750.0720579633,-0.0,-0.0,0.0,42627.906882118456,138909.90444717623,281523.6106721989,0.06905304903081042,0.08108996864455682,0.09261139893823532,-0.5759576895268873,-0.37784578413724185,-0.22545251419211063,2.0723893505007323,2.248771157392606,2.4679072700082414,37126.022593887996,60102.79506793889,89697.95483009877,19438.41902708276,31413.020713153328,45969.02487656354,20924.71879587366,32788.8702030471,46163.4598006824,33693.259646943465,54449.235902799104,79679.64311937681,33370.27597670826,54634.88939882582,81392.79649151266,2088.9477368235193,6303.584632341036,13623.145509478667,0.5673529770576969,0.5707244412718222,0.5731310681401844,1.308694501205083,1.3121709854913726,1.3161199264028032,0.3067117172753096,0.30978976315840745,0.3154062213799309,0.027383601468259133,0.03483633607181458,0.04758055174743418,-81507.72475528368,-449761.9462304042,219610.1663184623,0.32
"Annual $100k ST gains, +75 bps alpha",150/50,2.0,0.0,True,0.0,1.0,0.0,874235.5391083315,1559487.7246742314,2712319.525639923,-0.013352827049143078,0.04543775945313211,0.10492144414717117,2358043.2715208065,3248178.2024827586,4692511.328287136,0.0,1651.486947616197,17151.60458882965,0.0,0.0,0.0,-468264.5173704556,125496.63245441175,1166846.0332967858,84659.41887403435,181353.53198125213,255672.24246860106,-0.0,-0.0,0.0,49872.12953856171,160343.20970789617,318433.68056226795,0.08983929493914945,0.10490572890880953,0.12000457516546462,-0.6014716759831399,-0.38619690353858177,-0.22985011614743822,2.765885644190327,2.975596643837592,3.191052543526264,34750.34679404191,59992.49041623408,93519.60090895284,29927.842889286734,51072.55571663992,78886.48793994244,25847.25838039546,41617.29836194456,62158.571555814684,51874.92767476366,88525.76324217585,136736.57909590018,36313.9352310374,62237.5325358578,97202.1938244633,2178.7306634167767,6040.870917496941,13703.056023948873,0.4590326880693775,0.46221104453191814,0.46437752138721716,1.5068001965297433,1.509624163729164,1.5136674508812358,0.5050527847664671,0.5076172548772411,0.5119934280786366,0.024609313738204564,0.032562479482503015,0.04154054214886179,-109539.59146882698,-566716.2526291158,251355.0335839943,0.36
"Annual $100k ST gains, +75 bps alpha",200/100,3.0,0.0,True,0.0,1.0,0.0,763240.744583137,1383376.9413208314,3090639.4494312895,-0.02665661692599236,0.03298258171831614,0.1194475516325412,3169359.2022125158,4881969.026019906,7881218.41562287,9.349678288666057,3454.619231400185,35468.41389267841,0.0,0.0,0.0,-665750.6265590722,-153268.40193412823,1069645.8658678823,137304.0765130932,236786.71920925792,292591.80943931034,-0.0,-0.0,0.0,61426.320161413125,202492.52158907428,513637.22303227114,0.13785068398542039,0.16056159986016555,0.1821223428068964,-0.6750939516889883,-0.4687505436945196,-0.29401891828497434,4.401014303829506,4.711366866211847,4.940161166523532,31140.169128461355,57640.7945638325,97654.5054888146,53713.34222139289,94428.30590584659,162606.23083669302,35649.20311339742,61652.8194740818,103246.30054789248,93103.126517081,163675.73023680077,281850.8001169345,43745.900201273354,79050.2863286697,135179.48759442384,3352.4818497330502,7926.6476195621635,18178.305798481662,0.1860482790661306,0.1890841539545744,0.19138449704902688,2.0082355077089393,2.011185415939476,2.015085454869231,1.0019367506287382,1.0039691245858116,1.0070730229922598,0.022787641833134642,0.03143143491405875,0.04516925546481556,-240418.13799364498,-925074.2288565728,595123.3293791172,0.29
"Annual $100k ST gains, +75 bps alpha",250/150,4.0,0.0,False,0.0,0.8848484848484848,0.0,660834.0857610495,1281775.613332718,3263926.8442454785,-0.04057895089788151,0.025132096143641758,0.1255736944672705,3648805.7170783626,5970857.9303468475,9621789.812549822,45.98517982019661,4376.774835787485,39678.24178946407,0.0,0.0,0.0,-720473.7709584312,-305248.55328868225,1297955.2085312079,155895.1298342998,258551.41258693003,314423.7671420714,-0.0,-0.0,0.0,76590.6856497621,204913.86243817513,630981.2331309521,0.17065751441245566,0.19628902971607956,0.22842784514467862,-0.7374032121078987,-0.527856238773662,-0.3234173191689441,5.50253621578605,5.83324422004059,6.102380696466972,27527.951458581832,53978.40211446277,100692.98130536651,63231.17207605479,119992.20662397679,223306.98447868656,39983.03192600309,72480.44591823003,132714.31668269902,109600.69826516163,207986.49148155976,387065.4397630565,45078.898435226445,86602.28919403914,162529.09055844863,2048.130171772402,4602.641521529493,12472.203987533105,0.009635358777655364,0.012218506041116628,0.013870028883906411,2.332394944036779,2.333296745899066,2.3347340613477363,1.3300440041634793,1.3312792537700844,1.333615933970956,0.014552716742611094,0.019987177754266394,0.02996036995789531,-311310.21772509115,-1127129.7993025184,775418.9804154779,0.29
